Total commits,Total commits per day,Accumulated commits,Committers,Committers Weight,Toxicos
0.014061,0.119048,0.033517,0.081633,0.112941,2
0,0,0.033005,0,0,0
0,0,0.033005,0,0,0
0,0,0.033005,0,0,0
0,0,0.033005,0,0,0
0.004499,0.095238,0.033005,0.040816,0.375,0
0.012373,0.07483,0.032841,0.061224,0.272727,1
0.00225,0.190476,0.03239,0.020408,1,1
0.002812,0.238095,0.032308,0.040816,0.32,1
0.001125,0.095238,0.032205,0.020408,1,1
0,0,0.032164,0,0,0
